,Algorithms,Total Instances,num_classes,Training #,Testing #,accuracy,kappa,ch_accuracy,ch_kappa,points_flipped,ave_ch_confi,max_ch_confi
87,Logistic Regression,8000,4,5541,1847,1.0,1.0,0.0,0.0,0.0,0.0,0.0
88,FFNN,8000,8,5532,1844,1.0,1.0,0.0,0.0,0.0,0.003,0.005
89,Logistic Regression,8000,8,5532,1844,0.748,0.712,0.0,0.0,0.0,0.0,0.001
90,FFNN,8000,16,5496,1832,0.981,0.98,0.001,0.001,0.002,0.052,0.119
91,Logistic Regression,8000,16,5496,1832,0.465,0.429,0.0,0.0,0.0,0.001,0.001
92,FFNN,8000,32,5136,1712,0.8,0.793,0.002,0.002,0.007,0.049,0.097
93,Logistic Regression,8000,32,5136,1712,0.266,0.242,0.0,0.0,0.001,0.001,0.003
94,FFNN,8000,64,4704,1568,0.434,0.425,0.003,0.003,0.019,0.023,0.039
95,Logistic Regression,8000,64,4704,1568,0.224,0.212,0.001,0.001,0.003,0.002,0.005
96,FFNN,9000,2,6384,2128,1.0,1.0,0.0,0.0,0.0,0.0,0.0
97,Logistic Regression,9000,2,6384,2128,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,FFNN,9000,4,6267,2089,1.0,1.0,0.0,0.0,0.0,0.0,0.001
99,Logistic Regression,9000,4,6267,2089,1.0,1.0,0.0,0.0,0.0,0.0,0.001
100,FFNN,9000,8,6252,2084,1.0,1.0,0.0,0.0,0.0,0.0,0.001
101,Logistic Regression,9000,8,6252,2084,0.875,0.857,0.0,0.0,0.0,0.0,0.0
102,FFNN,9000,16,6072,2024,0.992,0.992,0.0,0.0,0.0,0.034,0.08
103,Logistic Regression,9000,16,6072,2024,0.438,0.401,0.0,0.0,0.0,0.0,0.001
104,FFNN,9000,32,5328,1776,0.861,0.856,0.001,0.001,0.005,0.031,0.059
105,Logistic Regression,9000,32,5328,1776,0.258,0.234,0.0,0.0,0.0,0.001,0.003
106,FFNN,9000,64,4800,1600,0.451,0.442,0.002,0.002,0.023,0.023,0.037
107,Logistic Regression,9000,64,4800,1600,0.23,0.218,0.0,0.0,0.003,0.002,0.009
108,FFNN,10000,2,7071,2357,1.0,1.0,0.0,0.0,0.0,0.0,0.0
109,Logistic Regression,10000,2,7071,2357,1.0,1.0,0.0,0.0,0.0,0.0,0.0
110,FFNN,10000,4,6924,2308,1.0,1.0,0.0,0.0,0.0,0.0,0.001
111,Logistic Regression,10000,4,6924,2308,1.0,1.0,0.0,0.0,0.0,0.0,0.0
112,FFNN,10000,8,6894,2298,1.0,1.0,0.0,0.0,0.0,0.001,0.005
113,Logistic Regression,10000,8,6894,2298,0.763,0.729,0.0,0.0,0.0,0.0,0.0
114,FFNN,10000,16,6780,2260,0.978,0.977,0.0,0.0,0.0,0.025,0.059
115,Logistic Regression,10000,16,6780,2260,0.624,0.599,0.0,0.0,0.0,0.0,0.001
116,FFNN,10000,32,6240,2080,0.836,0.831,0.0,0.0,0.002,0.031,0.06
117,Logistic Regression,10000,32,6240,2080,0.213,0.188,0.0,0.0,0.0,0.001,0.002
118,FFNN,10000,64,5664,1888,0.537,0.53,0.002,0.002,0.031,0.029,0.052
119,Logistic Regression,10000,64,5664,1888,0.201,0.188,0.0,0.0,0.002,0.002,0.006
